time,seconds_elapsed,z,y,x
1667915996285868500,0.53286865234375,-19.596115112304688,24.11191749572754,-25.729341506958008
1667915996295943700,0.542943603515625,-19.731674194335938,24.008569717407227,-25.925973892211914
1667915996306018600,0.5530185546875,-19.822463989257812,24.078632354736328,-26.006380081176758
1667915996316093700,0.56309375,-19.674850463867188,23.529882431030273,-25.776426315307617
1667915996326168800,0.5731689453125,-20.032211303710938,23.339536666870117,-26.03666877746582
1667915996336242700,0.58324267578125,-20.189743041992188,23.082117080688477,-26.13505744934082
1667915996346317600,0.593317626953125,-20.504592895507812,22.83957862854004,-26.377134323120117
1667915996356392700,0.603392822265625,-20.279556274414062,22.569761276245117,-26.459501266479492
1667915996366467800,0.6134677734375,-20.273818969726562,22.486812591552734,-26.469724655151367
1667915996376542500,0.62354248046875,-20.415237426757812,22.155832290649414,-26.52259635925293
1667915996386617600,0.63361767578125,-20.767776489257812,22.08329963684082,-26.376108169555664
1667915996396692500,0.6436923828125,-20.888046264648438,21.902868270874023,-26.44715690612793
1667915996406766600,0.6537666015625,-21.020339965820312,21.338157653808594,-26.56235694885254
1667915996416841500,0.663841552734375,-21.340682983398438,21.169116973876953,-26.514936447143555
1667915996426916600,0.67391650390625,-21.603317260742188,21.006805419921875,-26.6231632232666
1667915996436991700,0.68399169921875,-22.006698608398438,20.593406677246094,-26.44435691833496
1667915996447066600,0.694066650390625,-22.386825561523438,20.496685028076172,-26.686986923217773
